state,yr,qtr,index_sa
HI,1998,3,82.67
HI,1998,4,83.13
HI,1999,1,85.06
HI,1999,2,82.56
HI,1999,3,83.41
HI,1999,4,85.67
HI,2000,1,90.11
HI,2000,2,89.31
HI,2000,3,89.88
HI,2000,4,92.76
HI,2001,1,96.29
HI,2001,2,98.44
HI,2001,3,100.04
HI,2001,4,102.26
HI,2002,1,102.68
HI,2002,2,107.70
HI,2002,3,111.36
HI,2002,4,113.96
HI,2003,1,118.12
HI,2003,2,120.22
HI,2003,3,129.53
HI,2003,4,137.69
HI,2004,1,142.56
HI,2004,2,154.06
HI,2004,3,165.37
HI,2004,4,169.52
HI,2005,1,179.44
HI,2005,2,193.05
HI,2005,3,204.21
HI,2005,4,204.21
HI,2006,1,215.01
HI,2006,2,211.53
HI,2006,3,210.56
HI,2006,4,215.43
HI,2007,1,217.19
HI,2007,2,214.50
HI,2007,3,213.70
HI,2007,4,209.74
HI,2008,1,208.74
HI,2008,2,208.06
HI,2008,3,199.30
HI,2008,4,203.06
HI,2009,1,198.65
HI,2009,2,183.19
HI,2009,3,188.13
HI,2009,4,182.50
HI,2010,1,180.22
HI,2010,2,180.55
HI,2010,3,175.47
HI,2010,4,176.78
HI,2011,1,160.48
HI,2011,2,171.16
HI,2011,3,174.35
HI,2011,4,167.58
HI,2012,1,174.61
HI,2012,2,183.00
HI,2012,3,182.87
HI,2012,4,192.98
HI,2013,1,197.09
HI,2013,2,197.44
HI,2013,3,201.99
HI,2013,4,208.29
IA,1991,1,100.00
IA,1991,2,100.80
IA,1991,3,101.50
IA,1991,4,102.76
IA,1992,1,103.83
IA,1992,2,106.20
IA,1992,3,107.30
IA,1992,4,108.57
IA,1993,1,111.10
IA,1993,2,112.51
IA,1993,3,114.83
IA,1993,4,117.90
IA,1994,1,119.11
IA,1994,2,120.04
IA,1994,3,121.92
IA,1994,4,122.67
IA,1995,1,123.86
IA,1995,2,125.71
IA,1995,3,127.55
IA,1995,4,128.75
IA,1996,1,130.49
IA,1996,2,131.48
IA,1996,3,132.64
IA,1996,4,133.39
IA,1997,1,134.32
IA,1997,2,135.66
IA,1997,3,136.35
IA,1997,4,138.02
IA,1998,1,139.81
IA,1998,2,141.54
IA,1998,3,143.08
IA,1998,4,146.49
IA,1999,1,146.69
IA,1999,2,149.29
IA,1999,3,150.55
IA,1999,4,152.44
IA,2000,1,154.05
IA,2000,2,155.22
IA,2000,3,157.30
IA,2000,4,157.68
IA,2001,1,159.68
IA,2001,2,161.09
IA,2001,3,162.17
IA,2001,4,163.87
IA,2002,1,164.91
IA,2002,2,166.63
IA,2002,3,168.45
